sep=;
;Title;MAL Id;Type;Episode Duration;Studios;Source Type;Genres;Themes;Rating;Popularity;Score
70;Mushishi Zoku Shou: Suzu no Shizuku;28957;Movie;47 min.;['Artland'];Manga;['Adventure', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural'];N\A; PG-13 - Teens 13 or older  ;1532;8.60
71;Ookami Kodomo no Ame to Yuki;12355;Movie;1 hr. 57 min.;['Studio Chizu'];Original;['Fantasy', 'Slice of Life'];N\A; G - All Ages  ;197;8.60
72;Shouwa Genroku Rakugo Shinjuu;28735;TV;26 min. per ep.;['Studio Deen'];Manga;N\A;N\A; PG-13 - Teens 13 or older  ;725;8.59
73;Kizumonogatari II: Nekketsu-hen;31757;Movie;1 hr. 4 min.;['Shaft'];Light;['Action', 'Mystery', 'Supernatural'];N\A; R - 17+ (violence & profanity)  ;465;8.59
74;Hajime no Ippo: Rising;19647;TV;22 min. per ep.;['Madhouse', 'MAPPA'];Manga;['Comedy', 'Drama', 'Sports'];N\A; PG-13 - Teens 13 or older  ;908;8.58
75;JoJo no Kimyou na Bouken Part 5: Ougon no Kaze;37991;TV;23 min. per ep.;['David Production'];Manga;['Action', 'Adventure'];N\A; R - 17+ (violence & profanity)  ;162;8.58
76;Natsume Yuujinchou Go;32983;TV;23 min. per ep.;['Shuka'];Manga;['Drama', 'Slice of Life', 'Supernatural'];N\A; PG-13 - Teens 13 or older  ;1174;8.58
77;Natsume Yuujinchou San;10379;TV;24 min. per ep.;"[""Brain's Base""]";Manga;['Drama', 'Slice of Life', 'Supernatural'];N\A; PG-13 - Teens 13 or older  ;829;8.58
78;Yojouhan Shinwa Taikei;7785;TV;23 min. per ep.;['Madhouse'];Novel;['Comedy', 'Mystery', 'Romance'];N\A; R - 17+ (violence & profanity)  ;464;8.58
79;Tengen Toppa Gurren Lagann Movie 2: Lagann-hen;4565;Movie;2 hr. 5 min.;['Gainax'];Original;['Action', 'Sci-Fi'];['Mecha', 'Space', 'Super Power']; R+ - Mild Nudity  ;982;8.57
80;Fate/Zero 2nd Season;11741;TV;24 min. per ep.;['ufotable'];Light;['Action', 'Fantasy', 'Supernatural'];N\A; R - 17+ (violence & profanity)  ;114;8.57
81;Fruits Basket 2nd Season;40417;TV;23 min. per ep.;['TMS Entertainment'];Manga;['Comedy', 'Drama', 'Romance', 'Slice of Life', 'Supernatural'];N\A; PG-13 - Teens 13 or older  ;496;8.57
82;JoJo no Kimyou na Bouken Part 6: Stone Ocean;48661;ONA;24 min.;['David Production'];Manga;['Action', 'Adventure'];N\A; R - 17+ (violence & profanity)  ;627;8.57
83;Kimi no Suizou wo Tabetai;36098;Movie;1 hr. 48 min.;['Studio VOLN'];Novel;['Drama', 'Romance', 'Slice of Life'];N\A; PG-13 - Teens 13 or older  ;195;8.57
84;Kimetsu no Yaiba;38000;TV;23 min. per ep.;['ufotable'];Manga;['Action', 'Supernatural'];['Demons', 'Historical']; R - 17+ (violence & profanity)  ;9;8.56
85;Yakusoku no Neverland;37779;TV;22 min. per ep.;['CloverWorks'];Manga;['Horror', 'Mystery', 'Sci-Fi', 'Suspense'];N\A; R - 17+ (violence & profanity)  ;39;8.56
86;Mushishi: Hihamukage;21329;Special;45 min.;['Artland'];Manga;['Adventure', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural'];N\A; PG-13 - Teens 13 or older  ;1444;8.55
87;Zoku Natsume Yuujinchou;5300;TV;24 min. per ep.;"[""Brain's Base""]";Manga;['Drama', 'Slice of Life', 'Supernatural'];N\A; PG-13 - Teens 13 or older  ;834;8.55
88;Bakuman. 3rd Season;12365;TV;24 min. per ep.;['J.C.Staff'];Manga;['Comedy', 'Drama', 'Romance'];N\A; PG-13 - Teens 13 or older  ;600;8.55
89;Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly;33049;Movie;1 hr. 57 min.;['ufotable'];Visual;['Action', 'Fantasy', 'Supernatural'];N\A; R - 17+ (violence & profanity)  ;593;8.54
90;Haikyuu!!: To the Top 2nd Season;40776;TV;23 min. per ep.;['Production I.G'];Manga;['Comedy', 'Drama', 'Sports'];N\A; PG-13 - Teens 13 or older  ;270;8.54
91;Kara no Kyoukai 5: Mujun Rasen;4282;Movie;1 hr. 54 min.;['ufotable'];Light;['Action', 'Drama', 'Mystery', 'Romance', 'Supernatural', 'Suspense'];N\A; R - 17+ (violence & profanity)  ;879;8.54
92;Neon Genesis Evangelion: The End of Evangelion;32;Movie;1 hr. 26 min.;['Gainax', 'Production I.G'];Original;['Avant Garde', 'Drama', 'Sci-Fi'];['Mecha', 'Psychological']; R+ - Mild Nudity  ;171;8.54
93;Sora yori mo Tooi Basho;35839;TV;23 min. per ep.;['Madhouse'];Original;['Adventure', 'Comedy', 'Drama'];N\A; PG-13 - Teens 13 or older  ;411;8.54
94;Yuru Camp△ Season 2;38474;TV;23 min. per ep.;['C-Station'];Manga;['Comedy', 'Slice of Life'];N\A; PG-13 - Teens 13 or older  ;1087;8.54
95;Slam Dunk;170;TV;23 min. per ep.;['Toei Animation'];Manga;['Comedy', 'Drama', 'Sports'];N\A; PG-13 - Teens 13 or older  ;762;8.53
96;Gintama.: Porori-hen;35843;TV;23 min. per ep.;['Bandai Namco Pictures'];Manga;['Action', 'Comedy', 'Sci-Fi'];['Historical', 'Parody', 'Samurai']; PG-13 - Teens 13 or older  ;1121;8.53
97;Koukaku Kidoutai: Stand Alone Complex 2nd GIG;801;TV;25 min. per ep.;['Production I.G'];Manga;['Action', 'Mystery', 'Sci-Fi'];['Mecha', 'Military', 'Police']; R - 17+ (violence & profanity)  ;909;8.53
98;Gintama Movie 1: Shinyaku Benizakura-hen;7472;Movie;1 hr. 35 min.;['Sunrise'];Manga;['Action', 'Comedy', 'Sci-Fi'];['Historical', 'Parody', 'Samurai']; R - 17+ (violence & profanity)  ;1294;8.52
99;Kenpuu Denki Berserk;33;TV;25 min. per ep.;['OLM'];Manga;['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror', 'Supernatural'];['Demons', 'Military']; R+ - Mild Nudity  ;332;8.52
