Title;MAL Id;Type;Episode Duration;Studios;Source Type;Genres;Themes;Rating;Popularity;Score
23328;Nagagutsu Sanjuushi;5006;Movie;52 min.;['Toei Animation'];Original;['Adventure', 'Fantasy'];N\A; G - All Ages  ;10976;6.11
17054;Happy World!;319;OVA;26 min. per ep.;['Zexcs'];Manga;['Comedy', 'Fantasy', 'Romance', 'Ecchi'];N\A; PG-13 - Teens 13 or older  ;6733;5.99
13501;Oniichan dakedo Ai sae Areba Kankeinai yo ne! Specials;15881;Special;3 min. per ep.;['SILVER LINK.'];Unknown;['Comedy', 'Ecchi'];N\A; R+ - Mild Nudity  ;3119;6.23
30510;Carole & Tuesday Specials;40013;ONA;1 min. per ep.;['Bones'];Original;N\A;N\A; PG-13 - Teens 13 or older  ;6914;5.78
2550;Katarina to Manabou;42194;ONA;44 sec. per ep.;['AQUA ARIS'];Light;N\A;N\A; PG-13 - Teens 13 or older  ;6978;5.67
19145;Kaze no Matasaburou;12141;OVA;29 min.;['Madhouse'];Novel;['Fantasy', 'Slice of Life'];N\A; G - All Ages  ;11073;5.69
40431;Teki wa Kaizoku: Neko-tachi no Kyouen;2679;TV;25 min. per ep.;['Production I.G', 'Madhouse'];Novel;['Comedy', 'Sci-Fi'];N\A; PG-13 - Teens 13 or older  ;10323;6.12
5012;Dr. Slump Movie 11: Dr. Mashirito & Abale-chan;8551;Movie;5 min.;['Toei Animation'];Manga;['Comedy', 'Sci-Fi'];N\A; PG-13 - Teens 13 or older  ;10772;5.99
30049;T.P. Sakura: Time Paladin Sakura;9393;OVA;25 min. per ep.;['Nomad'];Visual;N\A;N\A; G - All Ages  ;7655;5.85
26553;Shin Dousei Jidai: Hawaiian Breeze;25065;OVA;41 min.;['Animaruya'];Unknown;['Drama', 'Romance'];N\A; PG-13 - Teens 13 or older  ;11970;6.18
20119;Inakappe Taishou;8786;TV;24 min. per ep.;['Tatsunoko Production'];Unknown;['Comedy', 'Sports'];N\A; None  ;12822;6.15
401;Soosee no Aquarion: Dai 27-wa Parallel-ban;16415;Special;5 min.;['add some'];Unknown;N\A;['Mecha', 'Parody']; PG-13 - Teens 13 or older  ;9648;5.94
4273;5-fun de Wakaru! Kingdom: Gasshougun-hen;48877;ONA;5 min. per ep.;['Studio Signpost'];Manga;N\A;['Historical', 'Military']; PG-13 - Teens 13 or older  ;14322;6.02
5135;AIKa R-16: Virgin Mission;2163;OVA;25 min. per ep.;['Studio Fantasia'];Original;['Action', 'Comedy', 'Ecchi'];N\A; R+ - Mild Nudity  ;3956;5.92
6435;Porong Porong Pororo 2;27451;TV;5 min. per ep.;['add some'];Unknown;N\A;N\A; G - All Ages  ;13900;5.74
