;Title;MAL Id;Type;Number of Episodes;Episode Duration;Studios;Source Type;Genres;Themes;Rating;Popularity;Score;Demographic;Year
59;Howl no Ugoku Shiro;431;Movie;1;1 hr. 59 min.;Studio Ghibli;Novel;Adventure,Drama,Fantasy,Romance;N\A; G - All Ages  ;97;8.66;N\A;2004
60;Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen;40591;TV;12;24 min. per ep.;A-1 Pictures;Manga;Comedy,Romance;Psychological,School; PG-13 - Teens 13 or older  ;116;8.66;Seinen;2020
61;Natsume Yuujinchou Shi;11665;TV;13;24 min. per ep.;Brain's Base;Manga;Drama,Slice of Life,Supernatural;N\A; PG-13 - Teens 13 or older  ;861;8.65;Shoujo;2012
62;Tengen Toppa Gurren Lagann;2001;TV;27;24 min. per ep.;Gainax;Original;Action,Adventure,Comedy,Sci-Fi;N\A; PG-13 - Teens 13 or older  ;56;8.64;N\A;2007
63;Natsume Yuujinchou Roku;34591;TV;11;23 min. per ep.;Shuka;Manga;Drama,Slice of Life,Supernatural;N\A; PG-13 - Teens 13 or older  ;1168;8.63;Shoujo;2017
64;Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai;38329;Movie;1;1 hr. 30 min.;CloverWorks;Light;Drama,Romance,Supernatural;N\A; PG-13 - Teens 13 or older  ;303;8.63;N\A;2019
65;Death Note;1535;TV;37;23 min. per ep.;Madhouse;Manga;Mystery,Supernatural,Suspense;Police,Psychological; R - 17+ (violence & profanity)  ;2;8.63;Shounen;2006
66;One Piece;21;TV;Unknown;24 min.;Toei Animation;Manga;Action,Adventure,Comedy,Drama,Fantasy;N\A; PG-13 - Teens 13 or older  ;26;8.62;Shounen;1999
67;Ping Pong the Animation;22135;TV;11;23 min. per ep.;Tatsunoko Production;Manga;Drama,Sports;N\A; PG-13 - Teens 13 or older  ;539;8.62;Seinen;2014
68;Shingeki no Kyojin Season 3;35760;TV;12;23 min. per ep.;Wit Studio;Manga;Action,Drama,Fantasy,Mystery;Military,Super Power; R - 17+ (violence & profanity)  ;24;8.62;Shounen;2018
69;Suzumiya Haruhi no Shoushitsu;7311;Movie;1;2 hr. 41 min.;Kyoto Animation;Light;Mystery,Romance,Sci-Fi,Supernatural;N\A; PG-13 - Teens 13 or older  ;305;8.62;N\A;2010
70;Mushishi Zoku Shou: Suzu no Shizuku;28957;Movie;1;47 min.;Artland;Manga;Adventure,Fantasy,Mystery,Slice of Life,Supernatural;N\A; PG-13 - Teens 13 or older  ;1532;8.60;Seinen;2015
71;Ookami Kodomo no Ame to Yuki;12355;Movie;1;1 hr. 57 min.;Studio Chizu;Original;Fantasy,Slice of Life;N\A; G - All Ages  ;196;8.60;N\A;2012
72;Shouwa Genroku Rakugo Shinjuu;28735;TV;13;26 min. per ep.;Studio Deen;Manga;N\A;N\A; PG-13 - Teens 13 or older  ;725;8.59;Josei;2016
73;Kizumonogatari II: Nekketsu-hen;31757;Movie;1;1 hr. 4 min.;Shaft;Light;Action,Mystery,Supernatural;N\A; R - 17+ (violence & profanity)  ;465;8.59;N\A;2016
74;Hajime no Ippo: Rising;19647;TV;25;22 min. per ep.;Madhouse,MAPPA;Manga;Comedy,Drama,Sports;N\A; PG-13 - Teens 13 or older  ;905;8.58;Shounen;2013
75;JoJo no Kimyou na Bouken Part 5: Ougon no Kaze;37991;TV;39;23 min. per ep.;David Production;Manga;Action,Adventure;N\A; R - 17+ (violence & profanity)  ;162;8.58;Shounen;2018
76;Natsume Yuujinchou Go;32983;TV;11;23 min. per ep.;Shuka;Manga;Drama,Slice of Life,Supernatural;N\A; PG-13 - Teens 13 or older  ;1174;8.58;Shoujo;2016
77;Natsume Yuujinchou San;10379;TV;13;24 min. per ep.;Brain's Base;Manga;Drama,Slice of Life,Supernatural;N\A; PG-13 - Teens 13 or older  ;829;8.58;Shoujo;2011
78;Yojouhan Shinwa Taikei;7785;TV;11;23 min. per ep.;Madhouse;Novel;Comedy,Mystery,Romance;N\A; R - 17+ (violence & profanity)  ;464;8.58;N\A;2010
79;Tengen Toppa Gurren Lagann Movie 2: Lagann-hen;4565;Movie;1;2 hr. 5 min.;Gainax;Original;Action,Sci-Fi;Mecha,Space,Super Power; R+ - Mild Nudity  ;983;8.57;N\A;2009
80;Fate/Zero 2nd Season;11741;TV;12;24 min. per ep.;ufotable;Light;Action,Fantasy,Supernatural;N\A; R - 17+ (violence & profanity)  ;114;8.57;N\A;2012
81;Fruits Basket 2nd Season;40417;TV;25;23 min. per ep.;TMS Entertainment;Manga;Comedy,Drama,Romance,Slice of Life,Supernatural;N\A; PG-13 - Teens 13 or older  ;496;8.57;Shoujo;2020
82;Kimi no Suizou wo Tabetai;36098;Movie;1;1 hr. 48 min.;Studio VOLN;Novel;Drama,Romance,Slice of Life;N\A; PG-13 - Teens 13 or older  ;195;8.57;N\A;2018
