sep=;
;Title;MAL Id;Type;Episode Duration;Studios;Source Type;Genres;Themes;Rating;Popularity;Score
103;"Steins;Gate 0";30484;TV;23 min. per ep.;['White Fox'];Visual;['Drama', 'Sci-Fi', 'Suspense'];N\A;N\A;183;8.52
104;Nana;877;TV;23 min. per ep.;['Madhouse'];Manga;['Drama', 'Romance', 'Slice of Life'];N\A;N\A;323;8.51
105;Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2;42203;TV;28 min. per ep.;['White Fox'];Light;['Drama', 'Fantasy', 'Suspense'];N\A;N\A;239;8.51
106;Tian Guan Ci Fu Special;44070;ONA;22 min.;['Haoliners Animation League'];Novel;['Drama', 'Supernatural'];N\A;N\A;3671;8.51
107;Uchuu Kyoudai;12431;TV;24 min. per ep.;['A-1 Pictures'];Manga;['Comedy', 'Sci-Fi', 'Slice of Life'];N\A;N\A;1069;8.51
108;Ansatsu Kyoushitsu 2nd Season;30654;TV;23 min. per ep.;['Lerche'];Manga;['Action', 'Comedy'];N\A;N\A;84;8.51
109;Banana Fish;36649;TV;22 min. per ep.;['MAPPA'];Manga;['Action', 'Adventure', 'Drama'];N\A;N\A;223;8.51
110;Josee to Tora to Sakana-tachi;40787;Movie;1 hr. 38 min.;['Bones'];Novel;['Drama', 'Romance', 'Slice of Life'];N\A;N\A;800;8.51
111;Jujutsu Kaisen 0 Movie;48561;Movie;1 hr. 45 min.;['MAPPA'];Manga;['Action', 'Supernatural'];N\A;N\A;629;8.51
112;Aria the Origination;3297;TV;24 min. per ep.;['Hal Film Maker'];Manga;['Fantasy', 'Sci-Fi', 'Slice of Life'];N\A;N\A;1535;8.50
113;Hotaru no Haka;578;Movie;1 hr. 28 min.;['Studio Ghibli'];Novel;N\A;N\A;N\A;301;8.50
114;JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai;31933;TV;23 min. per ep.;['David Production'];Manga;['Action', 'Adventure', 'Comedy', 'Drama', 'Supernatural'];N\A;N\A;133;8.50
115;Rainbow: Nisha Rokubou no Shichinin;6114;TV;22 min. per ep.;['Madhouse'];Manga;['Drama', 'Suspense'];N\A;N\A;505;8.50
116;Samurai Champloo;205;TV;24 min. per ep.;['Manglobe'];Original;['Action', 'Adventure', 'Comedy'];['Historical', 'Samurai'];N\A;98;8.50
117;Shingeki no Kyojin Season 2;25777;TV;24 min. per ep.;['Wit Studio'];Manga;['Action', 'Drama', 'Fantasy', 'Mystery'];['Military', 'Super Power'];N\A;12;8.49
118;Gintama: The Semi-Final;44087;Special;24 min. per ep.;['Bandai Namco Pictures'];Manga;['Action', 'Comedy'];['Historical', 'Parody', 'Samurai'];N\A;2657;8.49
119;Chihayafuru 3;37379;TV;22 min. per ep.;['Madhouse'];Manga;['Drama', 'Slice of Life', 'Sports'];['Game', 'School'];N\A;1497;8.48
120;Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu;38040;Movie;1 hr. 30 min.;['J.C.Staff'];Light;['Adventure', 'Comedy', 'Fantasy', 'Supernatural'];N\A;N\A;255;8.48
121;Mo Dao Zu Shi;37208;ONA;25 min. per ep.;['B.CMAY PICTURES'];Novel;['Action', 'Adventure', 'Mystery', 'Supernatural'];N\A;N\A;1005;8.48
122;Mob Psycho 100;32182;TV;24 min. per ep.;['Bones'];Web;['Action', 'Comedy', 'Slice of Life', 'Supernatural'];N\A;N\A;35;8.48
123;Vivy: Fluorite Eye's Song;46095;TV;24 min. per ep.;['Wit Studio'];Original;['Action', 'Sci-Fi', 'Suspense'];N\A;N\A;503;8.48
124;Zoku Owarimonogatari;36999;Movie;28 min. per ep.;['Shaft'];Light;['Comedy', 'Mystery', 'Supernatural'];N\A;N\A;982;8.47
125;Nichijou;10165;TV;23 min. per ep.;['Kyoto Animation'];Manga;['Comedy', 'Slice of Life'];N\A;N\A;169;8.46
126;Owarimonogatari;31181;TV;26 min. per ep.;['Shaft'];Light;['Comedy', 'Mystery', 'Supernatural'];N\A;N\A;410;8.46
127;Saenai Heroine no Sodatekata Fine;36885;Movie;1 hr. 54 min.;['CloverWorks'];Light;['Comedy', 'Romance', 'Ecchi'];['Harem', 'School'];N\A;1288;8.46
128;"Steins;Gate Movie: Fuka Ryouiki no Déjà vu";11577;Movie;1 hr. 30 min.;['White Fox'];Visual;['Drama', 'Sci-Fi'];N\A;N\A;329;8.46
129;Haikyuu!!;20583;TV;24 min. per ep.;['Production I.G'];Manga;['Comedy', 'Drama', 'Sports'];N\A;N\A;37;8.46
